,"European Union Emissions Trading System (from 2019, download)",,,,, 
Date,Exchange rate EUR/EUR,Exchange rate EUR/USD,Market Currency,Primary Market,Secondary Market, 
2020-11-12,1,1.183790476,EUR,25.9,, 
2020-11-13,1,1.183790476,EUR,26.31,, 
2020-11-16,1,1.183790476,EUR,26.67,26.86, 
2020-11-17,1,1.183790476,EUR,27.12,, 
2020-11-18,1,1.183790476,EUR,27.42,, 
2020-11-19,1,1.183790476,EUR,26.72,, 
2020-11-20,1,1.183790476,EUR,26.8,, 
2020-11-23,1,1.183790476,EUR,27.25,27.75, 
2020-11-24,1,1.183790476,EUR,26.97,, 
2020-11-26,1,1.183790476,EUR,27.77,, 
2020-11-27,1,1.183790476,EUR,28.23,, 
2020-11-30,1,1.183790476,EUR,28.82,29.33, 
2020-12-01,1,1.216972727,EUR,29.24,, 
2020-12-02,1,1.216972727,EUR,28.9,, 
2020-12-03,1,1.216972727,EUR,29.1,, 
2020-12-04,1,1.216972727,EUR,30,, 
2020-12-07,1,1.216972727,EUR,29.49,30.06, 
2020-12-08,1,1.216972727,EUR,29.69,, 
2020-12-10,1,1.216972727,EUR,30.04,, 
2020-12-11,1,1.216972727,EUR,30.45,, 
2020-12-14,1,1.216972727,EUR,30.92,30.81, 
2021-01-04,1,1.217085,EUR,,33.99, 
2021-01-11,1,1.217085,EUR,,33.62, 
2021-01-18,1,1.217085,EUR,,33.19, 
2021-01-25,1,1.217085,EUR,,33.34, 
2021-01-29,1,1.217085,EUR,33.51,, 
2021-02-01,1,1.20979,EUR,32.66,36.14, 
2021-02-02,1,1.20979,EUR,33.2,, 
2021-02-03,1,1.20979,EUR,38,, 
2021-02-04,1,1.20979,EUR,36.51,, 
2021-02-05,1,1.20979,EUR,37.61,, 
2021-02-08,1,1.20979,EUR,38.62,39, 
2021-02-09,1,1.20979,EUR,37.58,, 
2021-02-10,1,1.20979,EUR,37.7,, 
2021-02-11,1,1.20979,EUR,39.62,, 
2021-02-12,1,1.20979,EUR,37.8,, 
2021-02-15,1,1.20979,EUR,39.82,38.44, 
2021-02-16,1,1.20979,EUR,40.19,, 
2021-02-17,1,1.20979,EUR,38.42,, 
2021-02-18,1,1.20979,EUR,38.01,, 
2021-02-19,1,1.20979,EUR,38.36,, 
2021-02-22,1,1.20979,EUR,36.84,38.26, 
2021-02-23,1,1.20979,EUR,37.5,, 
2021-02-24,1,1.20979,EUR,38.42,, 
2021-02-25,1,1.20979,EUR,38.88,, 
2021-02-26,1,1.20979,EUR,37.51,, 
2021-03-01,1,1.189908696,EUR,37.66,38.03, 
2021-03-02,1,1.189908696,EUR,37.25,, 
2021-03-03,1,1.189908696,EUR,37.56,, 
